SampleID	Count	Purity	ASV	Taxonomy	Count2	Purity2	ASV2	Taxonomy2
L2P29G4	103	100	ASV_162	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Unassigned;Unassigned	0	NA	NA	NA
L2P29H1	32	51.61	ASV_162	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Unassigned;Unassigned	30	48.39	ASV_468	Firmicutes;Bacilli;Bacillales;Bacillaceae_1;Bacillus;Unassigned
L1P02F1	95	100	ASV_163	Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora;Micromonospora_chalcea	0	NA	NA	NA
L1P24G5	78	100	ASV_163	Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora;Micromonospora_chalcea	0	NA	NA	NA
L2P07D7	36	100	ASV_163	Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora;Micromonospora_chalcea	0	NA	NA	NA
L2P28F10	32	51.61	ASV_163	Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora;Micromonospora_chalcea	30	48.39	ASV_14	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Bradyrhizobium_manausense
L1P11C2	161	100	ASV_164	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Unassigned;Unassigned	0	NA	NA	NA
L1P32F12	123	100	ASV_164	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Unassigned;Unassigned	0	NA	NA	NA
L1P31A8	121	100	ASV_165	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Unassigned;Unassigned	0	NA	NA	NA
L1P31B8	44	100	ASV_165	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Unassigned;Unassigned	0	NA	NA	NA
L1P30B9	112	98.25	ASV_165	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Unassigned;Unassigned	2	1.75	ASV_7	Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Microbacterium_pygmaeum
L1P37C1	189	100	ASV_166	Proteobacteria;Alphaproteobacteria;Rhizobiales;Unassigned;Unassigned;Unassigned	0	NA	NA	NA
L1P28A2	108	100	ASV_166	Proteobacteria;Alphaproteobacteria;Rhizobiales;Unassigned;Unassigned;Unassigned	0	NA	NA	NA
L1P33E3	9	75	ASV_166	Proteobacteria;Alphaproteobacteria;Rhizobiales;Unassigned;Unassigned;Unassigned	3	25	ASV_232	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Unassigned;Unassigned
L2P34E3	169	99.41	ASV_167	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;Unassigned	1	0.59	ASV_3	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Piscinibacter;Piscinibacter_aquaticus
